Query: item_idS1
R-near neighbors:
item433
Nearest neighbor: item433
True neighbor: item433
distanceLSH: 0.897896
distanceTrue: 0.897896
tLSH: 0.000052
tTrue: 0.001720

Query: item_idS2
R-near neighbors:
item853
Nearest neighbor: item22
True neighbor: item853
distanceLSH: 362.086748
distanceTrue: 0.964682
tLSH: 0.000081
tTrue: 0.001098

Query: item_idS3
R-near neighbors:
item874
Nearest neighbor: item874
True neighbor: item874
distanceLSH: 0.922112
distanceTrue: 0.922112
tLSH: 0.000060
tTrue: 0.002216

Query: item_idS4
R-near neighbors:
item239
Nearest neighbor: item239
True neighbor: item239
distanceLSH: 0.958862
distanceTrue: 0.958862
tLSH: 0.000047
tTrue: 0.001630

Query: item_idS5
R-near neighbors:
item45
Nearest neighbor: item45
True neighbor: item45
distanceLSH: 0.929698
distanceTrue: 0.929698
tLSH: 0.000058
tTrue: 0.001747

Query: item_idS6
R-near neighbors:
item550
Nearest neighbor: item550
True neighbor: item550
distanceLSH: 0.824978
distanceTrue: 0.824978
tLSH: 0.000046
tTrue: 0.001605

Query: item_idS7
R-near neighbors:
Nearest neighbor: item67
True neighbor: item92
distanceLSH: 36.708642
distanceTrue: 0.960385
tLSH: 0.000057
tTrue: 0.001652

Query: item_idS8
R-near neighbors:
item733
Nearest neighbor: item733
True neighbor: item733
distanceLSH: 0.905230
distanceTrue: 0.905230
tLSH: 0.000050
tTrue: 0.001517

Query: item_idS9
R-near neighbors:
Nearest neighbor: item370
True neighbor: item370
distanceLSH: 1.024315
distanceTrue: 1.024315
tLSH: 0.000040
tTrue: 0.001919

Query: item_idS10
R-near neighbors:
Nearest neighbor: item449
True neighbor: item449
distanceLSH: 1.034738
distanceTrue: 1.034738
tLSH: 0.000034
tTrue: 0.001674

Query: item_idS11
R-near neighbors:
item39
Nearest neighbor: item39
True neighbor: item39
distanceLSH: 0.999396
distanceTrue: 0.999396
tLSH: 0.000086
tTrue: 0.001588

Query: item_idS12
R-near neighbors:
item823
Nearest neighbor: item823
True neighbor: item823
distanceLSH: 0.984165
distanceTrue: 0.984165
tLSH: 0.000050
tTrue: 0.001900

Query: item_idS13
R-near neighbors:
Nearest neighbor: item742
True neighbor: item451
distanceLSH: 373.753347
distanceTrue: 1.011311
tLSH: 0.000047
tTrue: 0.001614

Query: item_idS14
R-near neighbors:
item336
Nearest neighbor: item336
True neighbor: item336
distanceLSH: 0.880969
distanceTrue: 0.880969
tLSH: 0.000056
tTrue: 0.001802

Query: item_idS15
R-near neighbors:
Nearest neighbor: item418
True neighbor: item418
distanceLSH: 1.042381
distanceTrue: 1.042381
tLSH: 0.000050
tTrue: 0.001595

Query: item_idS16
R-near neighbors:
Nearest neighbor: item941
True neighbor: item941
distanceLSH: 1.024697
distanceTrue: 1.024697
tLSH: 0.000047
tTrue: 0.001531

Query: item_idS17
R-near neighbors:
Nearest neighbor: item749
True neighbor: item749
distanceLSH: 1.068431
distanceTrue: 1.068431
tLSH: 0.000047
tTrue: 0.001750

Query: item_idS18
R-near neighbors:
Nearest neighbor: item604
True neighbor: item604
distanceLSH: 1.072595
distanceTrue: 1.072595
tLSH: 0.000060
tTrue: 0.001244

Query: item_idS19
R-near neighbors:
item593
Nearest neighbor: item556
True neighbor: item593
distanceLSH: 39.030183
distanceTrue: 0.881385
tLSH: 0.000049
tTrue: 0.001557

Query: item_idS20
R-near neighbors:
item142
Nearest neighbor: item142
True neighbor: item142
distanceLSH: 0.876988
distanceTrue: 0.876988
tLSH: 0.000048
tTrue: 0.001514

Query: item_idS21
R-near neighbors:
item98
Nearest neighbor: item58
True neighbor: item98
distanceLSH: 38.054093
distanceTrue: 0.839206
tLSH: 0.000057
tTrue: 0.001560

Query: item_idS22
R-near neighbors:
item49
Nearest neighbor: item49
True neighbor: item49
distanceLSH: 0.933668
distanceTrue: 0.933668
tLSH: 0.000048
tTrue: 0.002087

Query: item_idS23
R-near neighbors:
Nearest neighbor: item216
True neighbor: item204
distanceLSH: 42.867997
distanceTrue: 1.060086
tLSH: 0.000048
tTrue: 0.001699

Query: item_idS24
R-near neighbors:
item288
Nearest neighbor: item288
True neighbor: item288
distanceLSH: 0.859072
distanceTrue: 0.859072
tLSH: 0.000056
tTrue: 0.001588

Query: item_idS25
R-near neighbors:
Nearest neighbor: item219
True neighbor: item219
distanceLSH: 1.020893
distanceTrue: 1.020893
tLSH: 0.000054
tTrue: 0.001701

Query: item_idS26
R-near neighbors:
item372
Nearest neighbor: item355
True neighbor: item372
distanceLSH: 33.800911
distanceTrue: 0.883252
tLSH: 0.000364
tTrue: 0.001445

Query: item_idS27
R-near neighbors:
Nearest neighbor: item291
True neighbor: item291
distanceLSH: 1.021836
distanceTrue: 1.021836
tLSH: 0.000034
tTrue: 0.001743

Query: item_idS28
R-near neighbors:
Nearest neighbor: item259
True neighbor: item290
distanceLSH: 38.466721
distanceTrue: 1.042599
tLSH: 0.000140
tTrue: 0.001515

Query: item_idS29
R-near neighbors:
Nearest neighbor: item369
True neighbor: item369
distanceLSH: 1.063647
distanceTrue: 1.063647
tLSH: 0.000050
tTrue: 0.001548

Query: item_idS30
R-near neighbors:
Nearest neighbor: item529
True neighbor: item529
distanceLSH: 1.023773
distanceTrue: 1.023773
tLSH: 0.000054
tTrue: 0.001777

